name,Uptime Status,Logs Files %,Temp Files %,RAM %,SWAP %,CPU %,tx_error_total,rx_error_total,sync_mode,sync_state,raid_state,memory_error,license_expiration_status,hotfix_module
FW-JIEP03,44 days 20 Hours 24 minutes ,6,31,19.95,0,0,0,0,Ha Module Not Started,-,DEGRADED,0, 27Dec2022 27Dec2024 ,R81.20
CILEFWNS622,10 days 21 Hours 52 minutes ,7,7,54.52,0,0,0,0,Ha Module Not Started,-,Can't find state,0, 27Dec2024 ,R81.10.10
